CorrectAnswer,Critical,Condition
GOI_KE_BLAR_TA_02.png,N,Singular-Dual
PAU_KE_CHOR_TA_02.png,Y,Singular-Dual
GOI_KE_DREE_TU_02.png,N,Singular-Dual
PAU_KE_PHAI_TU_02.png,Y,Singular-Dual
GOI_KO_SNUR_TI_02.png,Y,Singular-Dual
PAU_KO_STOO_TI_02.png,Y,Singular-Dual
GOI_KE_STOO_TA_02.png,N,Singular-Dual
PAU_KE_BLAR_TA_02.png,Y,Singular-Dual
GOI_KE_CHOR_TU_02.png,N,Singular-Dual
PAU_KE_DREE_TU_02.png,Y,Singular-Dual
GOI_KO_PHAI_TI_02.png,Y,Singular-Dual
PAU_KO_SNUR_TI_02.png,Y,Singular-Dual
GOI_KE_SNUR_TA_02.png,N,Singular-Dual
PAU_KE_STOO_TA_02.png,Y,Singular-Dual
GOI_KE_BLAR_TU_02.png,N,Singular-Dual
PAU_KE_CHOR_TU_02.png,Y,Singular-Dual
GOI_KO_DREE_TI_02.png,Y,Singular-Dual
PAU_KO_PHAI_TI_02.png,Y,Singular-Dual
GOI_KE_PHAI_TA_02.png,N,Singular-Dual
PAU_KE_SNUR_TA_02.png,Y,Singular-Dual
GOI_KE_STOO_TU_02.png,N,Singular-Dual
PAU_KE_BLAR_TU_02.png,Y,Singular-Dual
GOI_KO_CHOR_TI_02.png,Y,Singular-Dual
PAU_KO_DREE_TI_02.png,Y,Singular-Dual
GOI_KE_DREE_TA_02.png,N,Singular-Dual
PAU_KE_PHAI_TA_02.png,Y,Singular-Dual
GOI_KE_SNUR_TU_02.png,N,Singular-Dual
PAU_KE_STOO_TU_02.png,Y,Singular-Dual
GOI_KO_BLAR_TI_02.png,Y,Singular-Dual
PAU_KO_CHOR_TI_02.png,Y,Singular-Dual
GOI_KE_CHOR_TA_02.png,N,Singular-Dual
PAU_KE_DREE_TA_02.png,Y,Singular-Dual
GOI_KE_PHAI_TU_02.png,N,Singular-Dual
PAU_KE_SNUR_TU_02.png,Y,Singular-Dual
GOI_KO_STOO_TI_02.png,Y,Singular-Dual
PAU_KO_BLAR_TI_02.png,Y,Singular-Dual
